"datetime";"depth";"temperature";"salinity"
2002-06-19;"0";21.49;37.457
2002-06-19;"50";14.665;37.904
2002-06-26;"0";25.403;37.504
2002-06-26;"50";14.864;37.86
2002-07-02;"0";23.905;37.717
2002-07-02;"50";14.925;37.902
2002-07-10;"0";22.715;37.766
2002-07-10;"50";14.835;37.882
2002-07-18;"0";23.942;37.642
2002-07-18;"50";15.241;37.863
2002-07-24;"0";25.045;37.668
2002-07-24;"50";15.447;37.827
2002-07-31;"0";24.989;37.615
2002-07-31;"50";14.364;37.924
2002-08-07;"0";23.199;37.826
2002-08-07;"50";16.16;37.739
2002-08-14;"0";23.62;37.779
2002-08-14;"50";14.963;37.884
2002-08-21;"0";24.363;37.764
2002-08-21;"50";15.77;37.818
2002-08-28;"0";24.202;37.706
2002-08-28;"50";15.012;37.845
2002-09-04;"0";23.6;37.666
2002-09-04;"50";15.777;38.166
2002-09-11;"0";23.19;37.83
2002-09-11;"50";16.157;38.025
